Connected
Started Meassurement at 0
  Time:; 1563205269.000000 ; 0.722579 ; 171.649445 ; -590.558594 ; 1001000023373878695947141120000.000000 ; 1001000023373878695947141120000.000000 ; 1001000023373878695947141120000.000000 ; -858993460 ; -858993460
  Time:; 1563205269.001000 ; 0.726908 ; 171.649445 ; -590.558594 ; 1001000023373878695947141120000.000000 ; 1001000023373878695947141120000.000000 ; 1001000023373878695947141120000.000000 ; -858993460 ; -858993460
  Time:; 1563205269.002000 ; 0.731209 ; 171.649445 ; -590.558594 ; 1001000023373878695947141120000.000000 ; 1001000023373878695947141120000.000000 ; 1001000023373878695947141120000.000000 ; -858993460 ; -858993460
  Time:; 1563205269.003000 ; 0.735480 ; 171.649445 ; -590.558594 ; 1001000023373878695947141120000.000000 ; 1001000023373878695947141120000.000000 ; 1001000023373878695947141120000.000000 ; -858993460 ; -858993460
  Time:; 1563205269.004000 ; 0.739723 ; 171.649445 ; -590.558594 ; 1001000023373878695947141120000.000000 ; 1001000023373878695947141120000.000000 ; 1001000023373878695947141120000.000000 ; -858993460 ; -858993460
  Time:; 1563205269.005000 ; 0.743936 ; 171.649445 ; -590.558594 ; 1001000023373878695947141120000.000000 ; 1001000023373878695947141120000.000000 ; 1001000023373878695947141120000.000000 ; -858993460 ; -858993460
  Time:; 1563205269.006000 ; 0.748120 ; 171.649445 ; -590.558594 ; 1001000023373878695947141120000.000000 ; 1001000023373878695947141120000.000000 ; 1001000023373878695947141120000.000000 ; -858993460 ; -858993460
  Time:; 1563205269.007000 ; 0.752275 ; 171.649445 ; -590.558594 ; 1001000023373878695947141120000.000000 ; 1001000023373878695947141120000.000000 ; 1001000023373878695947141120000.000000 ; -858993460 ; -858993460
  Time:; 1563205269.008000 ; 0.756400 ; 171.649445 ; -590.558594 ; 1001000023373878695947141120000.000000 ; 1001000023373878695947141120000.000000 ; 1001000023373878695947141120000.000000 ; -858993460 ; -858993460
  Time:; 1563205269.009000 ; 0.760495 ; 171.649445 ; -590.558594 ; 1001000023373878695947141120000.000000 ; 1001000023373878695947141120000.000000 ; 1001000023373878695947141120000.000000 ; -858993460 ; -858993460
  Time:; 1563205269.010000 ; 0.764560 ; 171.649445 ; -590.558594 ; 1001000023373878695947141120000.000000 ; 1001000023373878695947141120000.000000 ; 1001000023373878695947141120000.000000 ; -858993460 ; -858993460
  Time:; 1563205269.011000 ; 0.768594 ; 171.649445 ; -590.558594 ; 1001000023373878695947141120000.000000 ; 1001000023373878695947141120000.000000 ; 1001000023373878695947141120000.000000 ; -858993460 ; -858993460
  Time:; 1563205269.012000 ; 0.772599 ; 171.649445 ; -590.558594 ; 1001000023373878695947141120000.000000 ; 1001000023373878695947141120000.000000 ; 1001000023373878695947141120000.000000 ; -858993460 ; -858993460
  Time:; 1563205269.013000 ; 0.776573 ; 171.649445 ; -590.558594 ; 1001000023373878695947141120000.000000 ; 1001000023373878695947141120000.000000 ; 1001000023373878695947141120000.000000 ; -858993460 ; -858993460
  Time:; 1563205269.014000 ; 0.780516 ; 171.649445 ; -590.558594 ; 1001000023373878695947141120000.000000 ; 1001000023373878695947141120000.000000 ; 1001000023373878695947141120000.000000 ; -858993460 ; -858993460
  Time:; 1563205269.015000 ; 0.784428 ; 171.649445 ; -590.558594 ; 1001000023373878695947141120000.000000 ; 1001000023373878695947141120000.000000 ; 1001000023373878695947141120000.000000 ; -858993460 ; -858993460
  Time:; 1563205269.016000 ; 0.788310 ; 171.649445 ; -590.558594 ; 1001000023373878695947141120000.000000 ; 1001000023373878695947141120000.000000 ; 1001000023373878695947141120000.000000 ; -858993460 ; -858993460
  Time:; 1563205269.017000 ; 0.792160 ; 171.649445 ; -590.558594 ; 1001000023373878695947141120000.000000 ; 1001000023373878695947141120000.000000 ; 1001000023373878695947141120000.000000 ; -858993460 ; -858993460
  Time:; 1563205269.018000 ; 0.795979 ; 171.649445 ; -590.558594 ; 1001000023373878695947141120000.000000 ; 1001000023373878695947141120000.000000 ; 1001000023373878695947141120000.000000 ; -858993460 ; -858993460
  Time:; 1563205269.019000 ; 0.799767 ; 171.649445 ; -590.558594 ; 1001000023373878695947141120000.000000 ; 1001000023373878695947141120000.000000 ; 1001000023373878695947141120000.000000 ; -858993460 ; -858993460
  Time:; 1563205269.020000 ; 0.803523 ; 171.649445 ; -590.558594 ; 1001000023373878695947141120000.000000 ; 1001000023373878695947141120000.000000 ; 1001000023373878695947141120000.000000 ; -858993460 ; -858993460
  Time:; 1563205269.021000 ; 0.807247 ; 171.649445 ; -590.558594 ; 1001000023373878695947141120000.000000 ; 1001000023373878695947141120000.000000 ; 1001000023373878695947141120000.000000 ; -858993460 ; -858993460
  Time:; 1563205269.022000 ; 0.810939 ; 171.649445 ; -590.558594 ; 1001000023373878695947141120000.000000 ; 1001000023373878695947141120000.000000 ; 1001000023373878695947141120000.000000 ; -858993460 ; -858993460
  Time:; 1563205269.023000 ; 0.814600 ; 171.649445 ; -590.558594 ; 1001000023373878695947141120000.000000 ; 1001000023373878695947141120000.000000 ; 1001000023373878695947141120000.000000 ; -858993460 ; -858993460
  Time:; 1563205269.024000 ; 0.818228 ; 171.649445 ; -590.558594 ; 1001000023373878695947141120000.000000 ; 1001000023373878695947141120000.000000 ; 1001000023373878695947141120000.000000 ; -858993460 ; -858993460
  Time:; 1563205269.025000 ; 0.821824 ; 171.649445 ; -590.558594 ; 1001000023373878695947141120000.000000 ; 1001000023373878695947141120000.000000 ; 1001000023373878695947141120000.000000 ; -858993460 ; -858993460
